name;neighbors
Cherkasy;Kiev, Kirovohrad, Poltava, Vinnytsya
Chernihiv;Kiev, Sumy, Poltava
Chernivtsi ;"""Ivano-Frankivs'k"", ""Ternopil'"", ""Khmel'nyts'kyy"", Vinnytsya"
"""Dnipropetrovs'k"" ";"Poltava, Kharkiv, ""Donets'k"", Zaporizhzhya, Kherson, Mykolayiv, Kirovohrad"
"""Donets'k""";"""Luhans'k"", Kharkiv, ""Dnipropetrovs'k"" , Zaporizhzhya"
"""Ivano-Frankivs'k""";"""Ternopil'"", Chernivtsi , Transcarpathia, ""L'viv"""
Kharkiv;"""Luhans'k"", ""Donets'k"", ""Dnipropetrovs'k"" , Poltava, Sumy"
Kherson;"Zaporizhzhya, ""Dnipropetrovs'k"" , Mykolayiv"
"""Khmel'nyts'kyy""";"Rivne, Zhytomyr, Vinnytsya, Chernivtsi , ""Ternopil'"""
Kiev;Zhytomyr, Vinnytsya, Cherkasy, Poltava, Chernihiv
Kirovohrad;"""Dnipropetrovs'k"" , Mykolayiv, Odessa, Vinnytsya, Cherkasy, Poltava"
"""Luhans'k""";"""Donets'k"", Kharkiv"
"""L'viv""";"Volyn, Rivne, ""Ternopil'"", ""Ivano-Frankivs'k"", Transcarpathia"
Mykolayiv;"Odessa, Kirovohrad, ""Dnipropetrovs'k"" , Kherson"
Odessa;Mykolayiv, Kirovohrad, Vinnytsya
Poltava;"Sumy, Kharkiv, ""Dnipropetrovs'k"" , Kirovohrad, Cherkasy, Kiev, Chernihiv"
Rivne;"Volyn, ""L'viv"", ""Ternopil'"", ""Khmel'nyts'kyy"", Zhytomyr"
Sumy;Chernihiv, Poltava, Kharkiv
"""Ternopil'""";"Chernivtsi , ""Ivano-Frankivs'k"", ""L'viv"", Rivne, ""Khmel'nyts'kyy"""
Vinnytsya;"Chernivtsi , ""Khmel'nyts'kyy"", Zhytomyr, Kiev, Cherkasy, Kirovohrad, Odessa"
Volyn;"Rivne, ""L'viv"""
Transcarpathia;"""Ivano-Frankivs'k"", ""L'viv"""
Zaporizhzhya;"""Donets'k"", ""Dnipropetrovs'k"" , Kherson"
Zhytomyr;"Rivne, ""Khmel'nyts'kyy"", Vinnytsya, Kiev"